    Hinst Name                                                         Module Name                  Inst Count           Total Area
--------------------------------------------------------------------------------------------------------------------------------
top                                                                                                       2222             6593.342
  u_controller                                                         controller                           48               68.362
  u_systolic_array_top                                                 systolic_array_top_N64             2165             6517.532
    u_systolic_array_top/sys_array                                     systolic_array_N64                  789             2700.964
      u_systolic_array_top/sys_array/row[0].col[0].pe                  processing_element_N64               12               41.762
        u_systolic_array_top/sys_array/row[0].col[0].pe/u_fp32_mac     fp32_mac                              5               26.600
          u_systolic_array_top/sys_array/row[0].col[0].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3                 3               15.960
          u_systolic_array_top/sys_array/row[0].col[0].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2                 2               10.640
      u_systolic_array_top/sys_array/row[0].col[10].pe                 processing_element_N64_62667         12               41.762
        u_systolic_array_top/sys_array/row[0].col[10].pe/u_fp32_mac    fp32_mac_102398                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[10].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102335          3               15.960
          u_systolic_array_top/sys_array/row[0].col[10].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106493          2               10.640
      u_systolic_array_top/sys_array/row[0].col[11].pe                 processing_element_N64_62666         12               41.762
        u_systolic_array_top/sys_array/row[0].col[11].pe/u_fp32_mac    fp32_mac_102397                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[11].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102334          3               15.960
          u_systolic_array_top/sys_array/row[0].col[11].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106492          2               10.640
      u_systolic_array_top/sys_array/row[0].col[12].pe                 processing_element_N64_62665         12               41.762
        u_systolic_array_top/sys_array/row[0].col[12].pe/u_fp32_mac    fp32_mac_102396                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[12].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102333          3               15.960
          u_systolic_array_top/sys_array/row[0].col[12].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106491          2               10.640
      u_systolic_array_top/sys_array/row[0].col[13].pe                 processing_element_N64_62664         12               41.762
        u_systolic_array_top/sys_array/row[0].col[13].pe/u_fp32_mac    fp32_mac_102395                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[13].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102332          3               15.960
          u_systolic_array_top/sys_array/row[0].col[13].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106490          2               10.640
      u_systolic_array_top/sys_array/row[0].col[14].pe                 processing_element_N64_62663         12               41.762
        u_systolic_array_top/sys_array/row[0].col[14].pe/u_fp32_mac    fp32_mac_102394                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[14].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102331          3               15.960
          u_systolic_array_top/sys_array/row[0].col[14].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106489          2               10.640
      u_systolic_array_top/sys_array/row[0].col[15].pe                 processing_element_N64_62662         12               41.762
        u_systolic_array_top/sys_array/row[0].col[15].pe/u_fp32_mac    fp32_mac_102393                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[15].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102330          3               15.960
          u_systolic_array_top/sys_array/row[0].col[15].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106488          2               10.640
      u_systolic_array_top/sys_array/row[0].col[16].pe                 processing_element_N64_62661         12               41.762
        u_systolic_array_top/sys_array/row[0].col[16].pe/u_fp32_mac    fp32_mac_102392                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[16].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102329          3               15.960
          u_systolic_array_top/sys_array/row[0].col[16].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106487          2               10.640
      u_systolic_array_top/sys_array/row[0].col[17].pe                 processing_element_N64_62660         12               41.762
        u_systolic_array_top/sys_array/row[0].col[17].pe/u_fp32_mac    fp32_mac_102391                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[17].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102328          3               15.960
          u_systolic_array_top/sys_array/row[0].col[17].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106486          2               10.640
      u_systolic_array_top/sys_array/row[0].col[18].pe                 processing_element_N64_62659         12               41.762
        u_systolic_array_top/sys_array/row[0].col[18].pe/u_fp32_mac    fp32_mac_102390                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[18].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102327          3               15.960
          u_systolic_array_top/sys_array/row[0].col[18].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106485          2               10.640
      u_systolic_array_top/sys_array/row[0].col[19].pe                 processing_element_N64_62658         12               41.762
        u_systolic_array_top/sys_array/row[0].col[19].pe/u_fp32_mac    fp32_mac_102389                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[19].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102326          3               15.960
          u_systolic_array_top/sys_array/row[0].col[19].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106484          2               10.640
      u_systolic_array_top/sys_array/row[0].col[1].pe                  processing_element_N64_62676         12               41.762
        u_systolic_array_top/sys_array/row[0].col[1].pe/u_fp32_mac     fp32_mac_102407                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[1].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102344          3               15.960
          u_systolic_array_top/sys_array/row[0].col[1].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106502          2               10.640
      u_systolic_array_top/sys_array/row[0].col[20].pe                 processing_element_N64_62657         12               41.762
        u_systolic_array_top/sys_array/row[0].col[20].pe/u_fp32_mac    fp32_mac_102388                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[20].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102325          3               15.960
          u_systolic_array_top/sys_array/row[0].col[20].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106483          2               10.640
      u_systolic_array_top/sys_array/row[0].col[21].pe                 processing_element_N64_62656         12               41.762
        u_systolic_array_top/sys_array/row[0].col[21].pe/u_fp32_mac    fp32_mac_102387                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[21].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102324          3               15.960
          u_systolic_array_top/sys_array/row[0].col[21].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106482          2               10.640
      u_systolic_array_top/sys_array/row[0].col[22].pe                 processing_element_N64_62655         12               41.762
        u_systolic_array_top/sys_array/row[0].col[22].pe/u_fp32_mac    fp32_mac_102386                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[22].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102323          3               15.960
          u_systolic_array_top/sys_array/row[0].col[22].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106481          2               10.640
      u_systolic_array_top/sys_array/row[0].col[23].pe                 processing_element_N64_62654         12               41.762
        u_systolic_array_top/sys_array/row[0].col[23].pe/u_fp32_mac    fp32_mac_102385                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[23].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102322          3               15.960
          u_systolic_array_top/sys_array/row[0].col[23].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106480          2               10.640
      u_systolic_array_top/sys_array/row[0].col[24].pe                 processing_element_N64_62653         12               41.762
        u_systolic_array_top/sys_array/row[0].col[24].pe/u_fp32_mac    fp32_mac_102384                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[24].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102321          3               15.960
          u_systolic_array_top/sys_array/row[0].col[24].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106479          2               10.640
      u_systolic_array_top/sys_array/row[0].col[25].pe                 processing_element_N64_62652         12               41.762
        u_systolic_array_top/sys_array/row[0].col[25].pe/u_fp32_mac    fp32_mac_102383                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[25].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102320          3               15.960
          u_systolic_array_top/sys_array/row[0].col[25].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106478          2               10.640
      u_systolic_array_top/sys_array/row[0].col[26].pe                 processing_element_N64_62651         12               41.762
        u_systolic_array_top/sys_array/row[0].col[26].pe/u_fp32_mac    fp32_mac_102382                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[26].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102319          3               15.960
          u_systolic_array_top/sys_array/row[0].col[26].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106477          2               10.640
      u_systolic_array_top/sys_array/row[0].col[27].pe                 processing_element_N64_62650         12               41.762
        u_systolic_array_top/sys_array/row[0].col[27].pe/u_fp32_mac    fp32_mac_102381                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[27].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102318          3               15.960
          u_systolic_array_top/sys_array/row[0].col[27].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106476          2               10.640
      u_systolic_array_top/sys_array/row[0].col[28].pe                 processing_element_N64_62649         12               41.762
        u_systolic_array_top/sys_array/row[0].col[28].pe/u_fp32_mac    fp32_mac_102380                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[28].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102317          3               15.960
          u_systolic_array_top/sys_array/row[0].col[28].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106475          2               10.640
      u_systolic_array_top/sys_array/row[0].col[29].pe                 processing_element_N64_62648         12               41.762
        u_systolic_array_top/sys_array/row[0].col[29].pe/u_fp32_mac    fp32_mac_102379                       5               26.600
          u_systolic_array_top/sys_array/row[0].col[29].pe/u_fp32_mac/U_ADD fp32_add_PIPE_STAGES3_102316          3               15.960
          u_systolic_array_top/sys_array/row[0].col[29].pe/u_fp32_mac/U_MUL fp32_mul_PIPE_STAGES2_106474          2               10.640
